4701,4702,4703,4704,4705,4706,4707,4708,4709,4710,4711,4712,4713,4714,4715,4716,4717
0.926,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.355,0,0,0,0.645,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.751,0.249,0,0,0,0,0,0,0,0,0,0
0,0,0.368,0,0,0,0.632,0,0,0,0,0,0,0,0,0,0
0,0.372,0.628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.496,0.504,0,0,0,0,0,0,0,0,0
0,0,0.514,0.486,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0.458,0.229,0,0,0.184,0.129,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.501,0.359,0,0,0,0.14,0,0,0
0,0,0,0,0,0.246,0.045,0,0,0.186,0.523,0,0,0,0,0,0
0,0,0,0,0,0,0.046,0,0,0,0.43,0.396,0,0,0.128,0,0
0,0,0,0,0,0,0,0.328,0,0,0,0.265,0.407,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.236,0.764,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,0.2,0.692,0
0,0,0,0,0,0,0,0,0,0,0,0.074,0.156,0,0,0,0.77
